scope_power_dbm,gain_db,input_level_dbm,input_level_mw
-29.3267463173,50,-29.5,0.0011220184543
-28.7526981277,50.6,-29,0.00125892541179
-28.4325137467,50.4,-28.5,0.00141253754462
-27.8487343447,51.4,-28,0.00158489319246
-27.5986587783,51.6,-27.5,0.00177827941004
-27.0072287653,52.2,-27,0.00199526231497
-26.5140290147,53,-26.5,0.00223872113857
-25.9390278641,53.8,-26,0.00251188643151
-24.2019502806,54.2,-24.5,0.00354813389234
-23.975987593,55.4,-24,0.00398107170553
-23.634214638,54.8,-23.5,0.00446683592151
-23.018440528,56,-23,0.00501187233627
-22.3958157089,56.6,-22.5,0.0056234132519
-22.0055455291,57,-22,0.0063095734448
-21.4544134973,58.4,-21.5,0.00707945784384
-21.0090232955,58.8,-21,0.00794328234724
-20.5415327853,59,-20.5,0.00891250938134
-20.1261249716,59.8,-20,0.01
-19.1994310448,60.2,-19.5,0.011220184543
-19.1083708583,60.4,-19,0.0125892541179
-18.4578184677,61.2,-18.5,0.0141253754462
-17.9828059194,61.4,-18,0.0158489319246
-17.2996775522,62.6,-17.5,0.0177827941004
-16.9592052437,62.4,-17,0.0199526231497
-16.4305441858,63.4,-16.5,0.0223872113857
-15.8778964632,63.6,-16,0.0251188643151
-15.4372664535,64,-15.5,0.0281838293126
-14.9684987419,64.6,-15,0.0316227766017
-14.3730801292,65.4,-14.5,0.0354813389234
-14.2380712099,65.6,-14,0.0398107170553
-13.4427535253,66.2,-13.5,0.0446683592151
-12.9953687193,66.6,-13,0.0501187233627
-12.4755309858,67.2,-12.5,0.056234132519
-12.1895510689,67.6,-12,0.063095734448
-11.4728351332,68.4,-11.5,0.0707945784384
-11.140203018,68.6,-11,0.0794328234724
-10.5237216384,68.8,-10.5,0.0891250938134
-10.0518094736,70,-10,0.1
-9.43249586023,70.4,-9.5,0.11220184543
-8.89873523668,70.8,-9,0.125892541179
-8.49470598105,71.4,-8.5,0.141253754462
-7.69490002364,72.2,-8,0.158489319246
-7.54060637905,72.6,-7.5,0.177827941004
-7.09840390595,72.8,-7,0.199526231497
-6.46865463101,73.4,-6.5,0.223872113857
-5.98886668439,73.8,-6,0.251188643151
-5.38574384778,74.6,-5.5,0.281838293126
-5.0473654073,75,-5,0.316227766017
-4.35794393083,75.8,-4.5,0.354813389234
-3.92458923955,76.2,-4,0.398107170553
-3.30659417351,76.6,-3.5,0.446683592151
-3.01849290464,76.8,-3,0.501187233627
-2.41326145496,77.6,-2.5,0.56234132519
-1.99148556579,77.8,-2,0.63095734448
-1.53927121922,78.6,-1.5,0.707945784384
-1.13137305219,79.2,-1,0.794328234724
-0.404714048185,79.6,-0.5,0.891250938134
0.0144259595762,80.2,0,1
