tone,bw_khz,level_dbm,efficiency
4,1000,-30,1.50344713539
4,1000,-28,4.3986503849
4,1000,-26,7.44967028121
4,1000,-24,11.6393162957
4,1000,-22,16.2847951208
4,1000,-20,24.2414315516
4,1000,-18,30.2613212615
4,1000,-16,33.1881779135
4,1000,-14,34.5690300052
4,1000,-12,35.3523682284
4,1000,-10,36.5918651089
4,1000,-8,34.2877063958
4,1000,-6,30.7757836221
4,1000,-4,26.7925247638
4,1000,-2,22.6165891946
4,1000,0,18.7266658636
8,1000,-30,5.22951252894
8,1000,-28,9.37878725741
8,1000,-26,13.1316898061
8,1000,-24,20.1816524308
8,1000,-22,27.8888675821
8,1000,-20,32.3504269196
8,1000,-18,34.1867348997
8,1000,-16,35.2572128351
8,1000,-14,35.1319416676
8,1000,-12,35.4955440267
8,1000,-10,36.5592595449
8,1000,-8,34.3135491745
8,1000,-6,30.7788257811
8,1000,-4,26.8009094503
8,1000,-2,22.6270952947
8,1000,0,18.6466843899
16,1000,-30,11.8106221445
16,1000,-28,16.4141408219
16,1000,-26,24.5506147075
16,1000,-24,29.4718277072
16,1000,-22,33.2185333205
16,1000,-20,33.6749817892
16,1000,-18,34.95202746
16,1000,-16,35.8463757212
16,1000,-14,35.681331101
16,1000,-12,35.8548899842
16,1000,-10,36.3087705003
16,1000,-8,34.3267191378
16,1000,-6,30.7449875326
16,1000,-4,26.8182946236
16,1000,-2,22.6420254599
16,1000,0,18.4221956723
32,1000,-30,21.5246844312
32,1000,-28,29.0204016103
32,1000,-26,30.3420616346
32,1000,-24,34.8335248025
32,1000,-22,35.1428168428
32,1000,-20,33.1935408863
32,1000,-18,33.4555651243
32,1000,-16,35.447115469
32,1000,-14,36.0122332165
32,1000,-12,36.1114907558
32,1000,-10,36.3484488033
32,1000,-8,34.3524754608
32,1000,-6,30.8360101547
32,1000,-4,26.8026948589
32,1000,-2,22.5515967653
32,1000,0,18.149169575
