harvester,series,level_dbm,efficiency,frequency_mhz,target_voltage_mv
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-30,0.24,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-29.5,0.22,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-29,0.21,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-28.5,0.22,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-28,0.22,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-27.5,0.23,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-27,0.35,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-26.5,0.42,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-26,0.6,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-25.5,0.87,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-25,1.28,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-24.5,1.83,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-24,2.58,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-23.5,3.58,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-23,4.63,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-22.5,5.9,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-22,7.17,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-21.5,6.16,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-21,7.8,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-20.5,9.52,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-20,11.15,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-19.5,12.27,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-19,13.49,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-18.5,14.58,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-18,15.31,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-17.5,15.79,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-17,16.15,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-16.5,19.15,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-16,22.51,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-15.5,24.93,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-15,27.48,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-14.5,29.61,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-14,31.38,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-13.5,32.75,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-13,33.87,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-12.5,34.68,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-12,35.21,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-11.5,35.18,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-11,35.21,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-10.5,35.27,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-10,36.59,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-9.5,36.22,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-9,35.75,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-8.5,35.1,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-8,34.25,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-7.5,33.41,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-7,32.64,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-6.5,31.67,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-6,30.77,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-5.5,29.75,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-5,28.8,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-4.5,27.77,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-4,26.78,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-3.5,25.78,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-3,24.69,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-2.5,23.7,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-2,22.6,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-1.5,21.46,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-1,20.69,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",-0.5,19.63,875,1750
sSUHFIPTIVA0,"sSUHFIPTIVA0 (Measured Frequency (MHz)=875, Target Voltage (mV)=1750)",0,18.74,875,1750
